team_name_home,player_names_home,player_numbers_home
Wales,"['Moore', 'James', 'Ramsey', 'Bale', 'Ampadu', 'Allen', 'Davies', 'Rodon', 'Mepham', 'Williams', 'Ward']","['13', '20', '10', '11', '15', '7', '4', '6', '5', '3', '12']"
Iran,"['Azmoun', 'Taremi', 'Hajsafi', 'Nourollahi', 'Ezatolahi', 'Gholizadeh', 'Mohammadi', 'Pouraliganji', 'Hosseini', 'Rezaeian', 'Beiranvand']","['20', '9', '3', '21', '6', '17', '5', '8', '19', '23', '1']"
Netherlands,"['Memphis', 'Gakpo', 'Klaassen', 'Blind', 'De Jong', 'De Roon', 'Dumfries', 'Aké', 'Van Dijk', 'Timber', 'Noppert']","['10', '8', '14', '17', '21', '15', '22', '5', '4', '2', '23']"
Ecuador,"['Valencia', 'Estrada', 'Plata', 'Caicedo', 'Gruezo', 'Franco', 'Estupiñán', 'Hincapié', 'Torres', 'Preciado', 'Galíndez']","['13', '11', '19', '23', '8', '21', '7', '3', '2', '17', '1']"
Portugal,"['Félix', 'Ronaldo', 'Fernandes', 'Carvalho', 'Bernardo Silva', 'Neves', 'Mendes', 'Dias', 'Pepe', 'Cancelo', 'Costa']","['11', '7', '8', '14', '10', '18', '19', '4', '3', '20', '22']"
Brazil,"['Vinícius Júnior', 'Richarlison', 'Raphinha', 'Lucas Paquetá', 'Casemiro', 'Fred', 'Alex Sandro', 'Thiago Silva', 'Marquinhos', 'Éder Militão', 'Alisson']","['20', '9', '11', '7', '5', '8', '6', '3', '4', '14', '1']"
South Korea,"['Cho Gue-sung', 'Son Heung-min', 'Jeong Woo-yeong', 'Kwon Chang-hoon', 'Hwang In-beom', 'Jung Woo-young', 'Kim Jin-su', 'Kim Young-gwon', 'Kim Min-jae', 'Kim Moon-hwan', 'Kim Seung-gyu']","['9', '7', '25', '22', '6', '5', '3', '19', '4', '15', '1']"
Cameroon,"['Toko Ekambi', 'Choupo-Moting', 'Mbeumo', 'Kunde', 'Hongla', 'Zambo Anguissa', 'Nouhou', 'Nkoulou', 'Castelletto', 'Fai Collins', 'Epassy']","['12', '13', '20', '15', '18', '8', '25', '3', '21', '19', '16']"
Spain,"['Olmo', 'Asensio', 'Torres', 'Pedri', 'Busquets', 'Gavi', 'Alba', 'Laporte', 'Rodri', 'Carvajal', 'Simón']","['21', '10', '11', '26', '5', '9', '18', '24', '16', '20', '23']"
Croatia,"['Perišić', 'Livaja', 'Kramarić', 'Kovačić', 'Brozović', 'Modrić', 'Sosa', 'Gvardiol', 'Lovren', 'Juranović', 'Livaković']","['4', '14', '9', '8', '11', '10', '19', '20', '6', '22', '1']"
Belgium,"['Batshuayi', 'Hazard', 'Hazard', 'De Bruyne', 'Witsel', 'Onana', 'Castagne', 'Vertonghen', 'Alderweireld', 'Meunier', 'Courtois']","['23', '16', '10', '7', '6', '18', '21', '5', '2', '15', '1']"
Japan,"['Ueda', 'Soma', 'Kamada', 'Doan', 'Morita', 'Endo', 'Nagatomo', 'Yoshida', 'Itakura', 'Yamane', 'Gonda']","['21', '24', '15', '8', '13', '6', '5', '22', '4', '2', '12']"
