team_name_home,player_names_home,player_numbers_home
Saudi Arabia,"['Al-Shehri', 'Al-Dawsari', 'Kanno', 'Al-Najei', 'Al-Buraikan', 'Al-Malki', 'Al-Breik', 'Al-Bulaihi', 'Al-Amri', 'Abdulhamid', 'Al-Owais']","['11', '10', '23', '16', '9', '8', '6', '5', '4', '12', '21']"
Australia,"['McGree', 'Duke', 'Goodwin', 'Mooy', 'Irvine', 'Leckie', 'Behich', 'Rowles', 'Souttar', 'Karačić', 'Ryan']","['14', '15', '23', '13', '22', '7', '16', '4', '19', '5', '1']"
USA,"['Wright', 'Weah', 'Pulisic', 'Musah', 'Adams', 'McKennie', 'Robinson', 'Ream', 'Zimmerman', 'Dest', 'Turner']","['19', '21', '10', '6', '4', '8', '5', '13', '3', '2', '1']"
Ecuador,"['Estrada', 'Valencia', 'Plata', 'Estupiñán', 'Caicedo', 'Méndez', 'Preciado', 'Hincapié', 'Torres', 'Porozo', 'Galíndez']","['11', '13', '19', '7', '23', '20', '17', '3', '2', '25', '1']"
Senegal,"['Diédhiou', 'Dia', 'Diatta', 'Gueye', 'Mendy', 'Sarr', 'Jakobs', 'Diallo', 'Koulibaly', 'Sabaly', 'Mendy']","['19', '9', '15', '5', '6', '18', '14', '22', '3', '21', '16']"
Iran,"['Taremi', 'Azmoun', 'Gholizadeh', 'Hajsafi', 'Ezatolahi', 'Nourollahi', 'Mohammadi', 'Pouraliganji', 'Hosseini', 'Rezaeian', 'Hosseini']","['9', '20', '17', '3', '6', '21', '5', '8', '19', '23', '24']"
Serbia,"['Mitrović', 'Milinković-Savić', 'Tadić', 'Mladenović', 'Gudelj', 'Lukić', 'Živković', 'Pavlović', 'Veljkovic', 'Milenković', 'Milinković-Savić']","['9', '20', '10', '25', '8', '16', '14', '2', '5', '4', '23']"
Ghana,"['Iñaki Williams', 'André Ayew', 'Kudus', 'Abdul Samed', 'Partey', 'Baba', 'Salisu', 'Djiku', 'Amartey', 'Seidu', 'Ati-Zigi']","['19', '10', '20', '21', '5', '17', '4', '23', '18', '26', '1']"
South Korea,"['Hwang Ui-jo', 'Son Heung-min', 'Lee Jae-sung', 'Na Sang-ho', 'Jung Woo-young', 'Hwang In-beom', 'Kim Jin-su', 'Kim Young-gwon', 'Kim Min-jae', 'Kim Moon-hwan', 'Kim Seung-gyu']","['16', '7', '10', '17', '5', '6', '3', '19', '4', '15', '1']"
Cameroon,"['Toko Ekambi', 'Choupo-Moting', 'Mbeumo', 'Hongla', 'Oum Gouet', 'Zambo Anguissa', 'Nouhou', 'Nkoulou', 'Castelletto', 'Fai Collins', 'Onana']","['12', '13', '20', '18', '14', '8', '25', '3', '21', '19', '23']"
Canada,"['David', 'Hoilett', 'Buchanan', 'Davies', 'Eustáquio', 'Hutchinson', 'Laryea', 'Miller', 'Vitória', 'Johnston', 'Borjan']","['20', '10', '11', '19', '7', '13', '22', '4', '5', '2', '18']"
Costa Rica,"['Contreras', 'Campbell', 'Bennette', 'Tejeda', 'Borges', 'Fuller', 'Oviedo', 'Calvo', 'Duarte', 'Martínez', 'Navas']","['7', '12', '9', '17', '5', '4', '8', '15', '6', '16', '1']"
Japan,"['Maeda', 'Kubo', 'Kamada', 'Ito', 'Tanaka', 'Endo', 'Nagatomo', 'Yoshida', 'Itakura', 'Sakai', 'Gonda']","['25', '11', '15', '14', '17', '6', '5', '22', '4', '19', '12']"
Croatia,"['Perišić', 'Kramarić', 'Vlašić', 'Kovačić', 'Brozović', 'Modrić', 'Sosa', 'Gvardiol', 'Lovren', 'Juranović', 'Livaković']","['4', '9', '13', '8', '11', '10', '19', '20', '6', '22', '1']"
Australia,"['Duke', 'Goodwin', 'McGree', 'Irvine', 'Leckie', 'Mooy', 'Behich', 'Rowles', 'Souttar', 'Atkinson', 'Ryan']","['15', '23', '14', '22', '7', '13', '16', '4', '19', '3', '1']"
Poland,"['Lewandowski', 'Zalewski', 'Szymański', 'Zieliński', 'Kamiński', 'Krychowiak', 'Bereszyński', 'Kiwior', 'Glik', 'Cash', 'Szczęsny']","['9', '21', '19', '20', '13', '10', '18', '14', '15', '2', '1']"
Tunisia,"['Jebali', 'Msakni', 'Slimane', 'Abdi', 'Laïdouni', 'Skhiri', 'Dräger', 'Talbi', 'Meriah', 'Bronn', 'Dahmen']","['9', '7', '25', '24', '14', '17', '20', '3', '4', '6', '16']"
Saudi Arabia,"['Al-Shehri', 'Al-Dawsari', 'Kanno', 'Al-Faraj', 'Al-Buraikan', 'Al-Malki', 'Al-Shahrani', 'Al-Bulaihi', 'Al-Tambakti', 'Abdulhamid', 'Al-Owais']","['11', '10', '23', '7', '9', '8', '13', '5', '17', '12', '21']"
Wales,"['James', 'Bale', 'Williams', 'Wilson', 'Ampadu', 'Ramsey', 'Roberts', 'Davies', 'Rodon', 'Mepham', 'Hennessey']","['20', '11', '3', '8', '15', '10', '14', '4', '6', '5', '1']"
Netherlands,"['Bergwijn', 'Janssen', 'Gakpo', 'Blind', 'De Jong', 'Berghuis', 'Dumfries', 'Aké', 'Van Dijk', 'De Ligt', 'Noppert']","['7', '18', '8', '17', '21', '11', '22', '5', '4', '3', '23']"
Iran,"['Taremi', 'Hajsafi', 'Karimi', 'Nourollahi', 'Jahanbakhsh', 'Mohammadi', 'Hosseini', 'Cheshmi', 'Pouraliganji', 'Moharrami', 'Beiranvand']","['9', '3', '18', '21', '7', '5', '19', '15', '8', '2', '1']"
Ecuador,"['Estrada', 'Valencia', 'Ibarra', 'Caicedo', 'Méndez', 'Plata', 'Estupiñán', 'Hincapié', 'Torres', 'Preciado', 'Galíndez']","['11', '13', '10', '23', '20', '19', '7', '3', '2', '17', '1']"
