_key,Event_ID,team,event_team,event_time,event_type,action_player_1,action_player_2
566,566,Uruguay,away,72,Substitution,De Arrascaeta,n煤帽ez
567,567,Uruguay,away,73,Substitution,su谩rez,cavani
568,568,Portugal,home,77,Yellow card,f茅lix,
569,569,Portugal,home,82,Substitution,nunes,f茅lix
570,570,Portugal,home,82,Substitution,ramos,ronaldo
571,571,Portugal,home,82,Substitution,F茅lix,carvalho
572,572,Uruguay,away,86,Substitution,Varela,olivera
573,573,Portugal,home,89,Yellow card,dias,
574,574,Portugal,home,93,Penalty,fernandes,
575,575,Brazil,home,45,Substitution,rodrygo,Alisson
576,576,Switzerland,away,50,Yellow card,rieder,
577,577,Brazil,home,52,Yellow card,fred,
578,578,Brazil,home,58,Substitution,Neymar,fred
579,579,Switzerland,away,59,Substitution,Sommer,vargas
580,580,Switzerland,away,59,Substitution,Xhaka,rieder
581,581,Brazil,home,65,Disallowed goal,Neymar,
582,582,Brazil,home,73,Substitution,jesus,richarlison
583,583,Brazil,home,73,Substitution,antony,raphinha
584,584,Switzerland,away,76,Substitution,Rodr铆guez,sow
585,585,Switzerland,away,76,Substitution,Sow,embolo
586,586,Brazil,home,83,Goal,casemiro,rodrygo
587,587,Switzerland,away,86,Substitution,Vargas,widmer
588,588,Brazil,home,86,Substitution,telles,Raphinha
589,589,Ghana,away,21,Yellow card,amartey,
590,590,Ghana,away,24,Goal,salisu,
591,591,South Korea,home,27,Yellow card,Jung Woo-young,
592,592,Ghana,away,34,Goal,kudus,
593,593,South Korea,home,45,Substitution,Na Sang-ho,Jeong Woo-yeong
594,594,South Korea,home,57,Substitution,Lee Kang-in,Kwon Chang-hoon
595,595,South Korea,home,58,Goal,Cho Gue-sung,
596,596,South Korea,home,61,Goal,Cho Gue-sung,
597,597,Ghana,away,68,Goal,kudus,
598,598,Ghana,away,73,Yellow card,lamptey,
599,599,South Korea,home,77,Yellow card,Kim Young-gwon,
600,600,Ghana,away,78,Substitution,Ati-Zigi,Andr茅 Ayew
601,601,Ghana,away,78,Substitution,Mensah,lamptey
602,602,Ghana,away,78,Substitution,Baba,Amartey
603,603,South Korea,home,79,Substitution,Hwang Ui-jo,Jung Woo-young
604,604,Ghana,away,83,Substitution,djiku,kudus
605,605,Ghana,away,88,Substitution,I帽aki Williams,mensah
606,606,South Korea,home,92,Substitution,Kwon Kyung-won,Kim Min-jae
607,607,Cameroon,home,24,Yellow card,nkoulou,
608,608,Cameroon,home,29,Goal,castelletto,
609,609,Cameroon,home,30,Yellow card,Aboubakar,
610,610,Serbia,away,46,Goal,pavlovi膰,tadi膰
611,611,Serbia,away,48,Goal,milinkovi膰-savi膰,啪ivkovi膰
612,612,Serbia,away,49,Yellow card,Tadi膰,
613,613,Serbia,away,53,Goal,mitrovi膰,啪ivkovi膰
614,614,Cameroon,home,55,Substitution,aboubakar,hongla
615,615,Serbia,away,56,Substitution,mitrovi膰,pavlovi膰
616,616,Cameroon,home,63,Goal,aboubakar,castelletto
617,617,Cameroon,home,66,Goal,aboubakar,
618,618,Cameroon,home,67,Substitution,Mbeumo,kunde
619,619,Cameroon,home,67,Substitution,Fai Collins,toko ekambi
620,620,Serbia,away,78,Substitution,沤ivkovi膰,veljkovic
621,621,Serbia,away,78,Substitution,Luki膰,啪ivkovi膰
622,622,Serbia,away,79,Substitution,Kosti膰,milinkovi膰-savi膰
623,623,Cameroon,home,81,Substitution,oum gouet,zambo anguissa
624,624,Cameroon,home,81,Substitution,Nouhou,mbeumo
625,625,Serbia,away,92,Substitution,Vlahovi膰,kosti膰
626,626,Serbia,away,93,Yellow card,milenkovi膰,
627,627,Germany,away,37,Yellow card,kehrer,
628,628,Germany,away,39,Disallowed goal,G眉ndo臒an,
629,629,Spain,home,44,Yellow card,busquets,
630,630,Spain,home,54,Substitution,morata,torres
631,631,Germany,away,58,Yellow card,goretzka,
632,632,Germany,away,60,Yellow card,kimmich,
633,633,Spain,home,62,Goal,morata,alba
634,634,Spain,home,66,Substitution,Bald茅,asensio
635,635,Spain,home,66,Substitution,Nico williams,gavi
636,636,Germany,away,70,Substitution,san茅,g眉ndo臒an
637,637,Germany,away,70,Substitution,goretzka,m眉ller
638,638,Germany,away,70,Substitution,kimmich,kehrer
639,639,Spain,home,82,Substitution,bald茅,alba
640,640,Germany,away,83,Goal,musiala,
641,641,Germany,away,85,Substitution,Kehrer,gnabry
642,642,Germany,away,87,Substitution,schlotterbeck,raum
643,643,Canada,away,2,Goal,davies,buchanan
644,644,Croatia,home,36,Goal,kramari膰,peri拧i膰
645,645,Croatia,home,44,Goal,livaja,juranovi膰
646,646,Canada,away,45,Substitution,Adekugbe,eust谩quio
647,647,Canada,away,45,Substitution,osorio,larin
648,648,Canada,away,52,Yellow card,buchanan,
649,649,Croatia,home,56,Yellow card,lovren,
650,650,Croatia,home,60,Substitution,petkovi膰,livaja
651,651,Canada,away,62,Substitution,hoilett,laryea
652,652,Croatia,home,70,Goal,kramari膰,peri拧i膰
653,653,Canada,away,72,Substitution,Eust谩quio,david
654,654,Croatia,home,73,Substitution,vla拧i膰,kramari膰
655,655,Canada,away,73,Substitution,adekugbe,hutchinson
656,656,Canada,away,85,Yellow card,miller,
657,657,Croatia,home,85,Yellow card,modri膰,
658,658,Croatia,home,86,Substitution,or拧i膰,peri拧i膰
659,659,Croatia,home,86,Substitution,pa拧ali膰,modri膰
660,660,Croatia,home,86,Substitution,majer,kova膷i膰
661,661,Croatia,home,94,Goal,majer,or拧i膰
662,662,Belgium,home,28,Yellow card,onana,
663,663,Morocco,away,47,Disallowed goal,Amallah,
664,664,Belgium,home,60,Substitution,tielemans,onana
665,665,Belgium,home,60,Substitution,mertens,hazard
666,666,Morocco,away,67,Substitution,attiyat allah,El Yamiq
667,667,Morocco,away,68,Substitution,sabiri,amallah
668,668,Morocco,away,73,Goal,sa茂ss,hakimi
669,669,Morocco,away,73,Substitution,En-Nesyri,sabiri
670,670,Morocco,away,73,Substitution,Hakimi,boufal
671,671,Belgium,home,75,Substitution,trossard,hazard
672,672,Belgium,home,75,Substitution,batshuayi,hazard
673,673,Morocco,away,78,Substitution,el yamiq,Dari
674,674,Belgium,home,81,Substitution,meunier,Witsel
675,675,Morocco,away,92,Goal,el yamiq,
676,676,Morocco,away,95,Yellow card,sabiri,ziyech
677,677,Costa Rica,away,41,Yellow card,contreras,
678,678,Japan,home,44,Yellow card,yamane,
679,679,Japan,home,45,Substitution,ito,Doan
680,680,Japan,home,45,Substitution,Kubo,nagatomo
681,681,Costa Rica,away,61,Yellow card,borges,
682,682,Japan,home,62,Substitution,Kamada,Tomiyasu
683,683,Costa Rica,away,65,Substitution,aguilera,torres
684,684,Costa Rica,away,65,Substitution,bennette,torres
685,685,Japan,home,67,Substitution,ito,Yoshida
686,686,Costa Rica,away,70,Yellow card,calvo,
687,687,Costa Rica,away,81,Goal,fuller,
688,688,Japan,home,82,Substitution,Gonda,Morita
689,689,Japan,home,84,Yellow card,itakura,soma
690,690,Costa Rica,away,89,Substitution,Calvo,tejeda
691,691,Japan,home,93,Yellow card,endo,
692,692,Costa Rica,away,95,Substitution,Aguilera,Vargas
693,693,Mexico,away,22,Yellow card,araujo,
694,694,Mexico,away,42,Substitution,Guardado,Pineda
695,695,Argentina,home,43,Yellow card,montiel,
696,696,Mexico,away,50,Yellow card,Guardado,
697,697,Argentina,home,57,Substitution,fern谩ndez,rodr铆guez
698,698,Argentina,home,63,Substitution,谩lvarez,mart铆nez
699,699,Argentina,home,63,Substitution,molina,montiel
700,700,Argentina,home,64,Goal,messi,montiel
701,701,Mexico,away,66,Substitution,Araujo,Mart铆n
702,702,Mexico,away,66,Yellow card,herrera,vega
703,703,Mexico,away,66,Substitution,vega,谩lvarez
704,704,Argentina,home,69,Substitution,romero,谩lvarez
705,705,Argentina,home,69,Substitution,Acu帽a,di mar铆a
706,706,Mexico,away,73,Substitution,S谩nchez,
707,707,Argentina,home,87,Goal,fern谩ndez,
708,708,Mexico,away,89,Yellow card,S谩nchez,
709,709,Denmark,away,20,Yellow card,christensen,
710,710,Denmark,away,23,Yellow card,cornelius,
711,711,France,home,43,Yellow card,kound茅,
712,712,Denmark,away,45,Substitution,braithwaite,Skov Olsen
713,713,France,home,61,Goal,mbapp茅,hernandez
714,714,France,home,62,Substitution,Mbapp茅,giroud
715,715,Denmark,away,68,Goal,christensen,
716,716,Denmark,away,73,Substitution,dolberg,andersen
717,717,France,home,75,Substitution,konat茅,Konat茅
718,718,France,home,75,Substitution,coman,varane
719,719,Denmark,away,85,Substitution,lindstr酶m,Dolberg
720,720,France,home,86,Goal,mbapp茅,demb茅l茅
721,721,Denmark,away,92,Substitution,kristensen,Damsgaard
722,722,France,home,93,Substitution,fofana,griezmann
723,723,Poland,home,15,Yellow card,kiwior,griezmann
724,724,Poland,home,16,Yellow card,cash,
725,725,Poland,home,19,Yellow card,milik,
726,726,Saudi Arabia,away,20,Yellow card,al-malki,
