event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
126,7,Argentina,away,101,Yellow card,Otamendi,nan
127,7,Netherlands,home,104,Yellow card,Bergwijn,nan
128,7,Argentina,away,105,Substitution,Montiel,Molina
129,7,Argentina,away,109,Yellow card,Montiel,nan
130,7,Argentina,away,112,Substitution,Di María,Martínez
131,7,Argentina,away,112,Yellow card,Pezzella,nan
132,7,Netherlands,home,113,Substitution,Lang,Gakpo
133,7,Netherlands,home,,PK,nan,nan
134,7,Argentina,away,,PK,nan,nan
135,7,Netherlands,home,,PK,nan,nan
136,7,Argentina,away,,PK,nan,nan
137,7,Netherlands,home,,PK,nan,nan
138,7,Argentina,away,,PK,nan,nan
139,7,Netherlands,home,,PK,nan,nan
140,7,Argentina,away,,PK,nan,nan
141,7,Netherlands,home,,PK,nan,nan
142,7,Argentina,away,,PK,nan,nan
143,7,Netherlands,home,128,Yellow card,Dumfries,nan
144,7,Netherlands,home,128,Yellow card,Lang,nan
145,7,Netherlands,home,128,Second yellow card,Dumfries,nan
146,8,Brazil,away,25,Yellow card,Danilo,nan
147,8,Croatia,home,31,Yellow card,Brozović,nan
148,8,Brazil,away,56,Substitution,Antony,Raphinha
149,8,Brazil,away,64,Substitution,Rodrygo,Júnior
150,8,Brazil,away,68,Yellow card,Casemiro,nan
151,8,Croatia,home,72,Substitution,Vlašić,Pašalić
152,8,Croatia,home,72,Substitution,Petković,Kramarić
153,8,Brazil,away,77,Yellow card,Marquinhos,nan
154,8,Brazil,away,84,Substitution,Pedro,Richarlison
155,8,Brazil,away,106,Goal,Neymar,Paquetá
156,8,Croatia,home,105,Substitution,Majer,Kovačić
157,8,Brazil,away,105,Substitution,Sandro,Militão
158,8,Brazil,away,105,Substitution,Fred,Paquetá
159,8,Croatia,home,110,Substitution,Budimir,Sosa
160,8,Croatia,home,114,Substitution,Oršić,Brozović
161,8,Croatia,home,117,Goal,Petković,Oršić
162,8,Croatia,home,117,Yellow card,Petković,nan
163,8,Croatia,home,,PK,nan,nan
164,8,Brazil,away,,PK,nan,nan
165,8,Croatia,home,,PK,nan,nan
166,8,Brazil,away,,PK,nan,nan
167,8,Croatia,home,,PK,nan,nan
168,8,Brazil,away,,PK,nan,nan
169,8,Croatia,home,,PK,nan,nan
170,8,Brazil,away,,PK,nan,nan
171,9,Portugal,home,17,Goal,Ramos,Félix
172,9,Portugal,home,33,Goal,Pepe,Fernandes
173,9,Switzerland,away,43,Yellow card,Schär,nan
174,9,Switzerland,away,45,Substitution,Cömert,Schär
175,9,Portugal,home,51,Goal,Ramos,nan
176,9,Switzerland,away,54,Substitution,Zakaria,Freuler
177,9,Switzerland,away,54,Substitution,Seferovic,Sow
178,9,Portugal,home,55,Goal,Guerreiro,Ramos
179,9,Switzerland,away,58,Goal,Akanji,nan
180,9,Switzerland,away,59,Yellow card,Cömert,nan
181,9,Switzerland,away,66,Substitution,Okafor,Vargas
182,9,Portugal,home,67,Goal,Ramos,Félix
183,9,Portugal,home,73,Substitution,Ronaldo,Félix
184,9,Portugal,home,74,Substitution,Horta,Ramos
185,9,Portugal,home,74,Substitution,Vitinha,Otávio
186,9,Portugal,home,81,Substitution,Neves,Silva
187,9,Portugal,home,87,Substitution,Leão,Fernandes
188,9,Switzerland,away,89,Substitution,Jashari,Embolo
189,9,Portugal,home,92,Goal,Leão,Guerreiro
190,10,Spain,away,63,Substitution,Morata,Asensio
191,10,Spain,away,63,Substitution,Soler,Gavi
192,10,Morocco,home,66,Substitution,Ezzalzouli,Boufal
193,10,Spain,away,75,Substitution,Williams,Torres
194,10,Spain,away,76,Yellow card,Laporte,nan
195,10,Morocco,home,82,Substitution,Cheddira,Amallah
196,10,Morocco,home,82,Substitution,Sabiri,En-Nesyri
197,10,Morocco,home,82,Substitution,Attiyat Allah,Mazraoui
