team_name_away,player_names_away,player_numbers_away
USA,"['Wright', 'Weah', 'Pulisic', 'Musah', 'Adams', 'McKennie', 'Robinson', 'Ream', 'Zimmerman', 'Dest', 'Turner']","['19', '21', '10', '6', '4', '8', '5', '13', '3', '2', '1']"
Ecuador,"['Estrada', 'Valencia', 'Plata', 'Estupiñán', 'Caicedo', 'Méndez', 'Preciado', 'Hincapié', 'Torres', 'Porozo', 'Galíndez']","['11', '13', '19', '7', '23', '20', '17', '3', '2', '25', '1']"
Senegal,"['Diédhiou', 'Dia', 'Diatta', 'Gueye', 'Mendy', 'Sarr', 'Jakobs', 'Diallo', 'Koulibaly', 'Sabaly', 'Mendy']","['19', '9', '15', '5', '6', '18', '14', '22', '3', '21', '16']"
Iran,"['Taremi', 'Azmoun', 'Gholizadeh', 'Hajsafi', 'Ezatolahi', 'Nourollahi', 'Mohammadi', 'Pouraliganji', 'Hosseini', 'Rezaeian', 'Hosseini']","['9', '20', '17', '3', '6', '21', '5', '8', '19', '23', '24']"
Serbia,"['Mitrović', 'Milinković-Savić', 'Tadić', 'Mladenović', 'Gudelj', 'Lukić', 'Živković', 'Pavlović', 'Veljkovic', 'Milenković', 'Milinković-Savić']","['9', '20', '10', '25', '8', '16', '14', '2', '5', '4', '23']"
Ghana,"['Iñaki Williams', 'André Ayew', 'Kudus', 'Abdul Samed', 'Partey', 'Baba', 'Salisu', 'Djiku', 'Amartey', 'Seidu', 'Ati-Zigi']","['19', '10', '20', '21', '5', '17', '4', '23', '18', '26', '1']"
South Korea,"['Hwang Ui-jo', 'Son Heung-min', 'Lee Jae-sung', 'Na Sang-ho', 'Jung Woo-young', 'Hwang In-beom', 'Kim Jin-su', 'Kim Young-gwon', 'Kim Min-jae', 'Kim Moon-hwan', 'Kim Seung-gyu']","['16', '7', '10', '17', '5', '6', '3', '19', '4', '15', '1']"
Cameroon,"['Toko Ekambi', 'Choupo-Moting', 'Mbeumo', 'Hongla', 'Oum Gouet', 'Zambo Anguissa', 'Nouhou', 'Nkoulou', 'Castelletto', 'Fai Collins', 'Onana']","['12', '13', '20', '18', '14', '8', '25', '3', '21', '19', '23']"
Canada,"['David', 'Hoilett', 'Buchanan', 'Davies', 'Eustáquio', 'Hutchinson', 'Laryea', 'Miller', 'Vitória', 'Johnston', 'Borjan']","['20', '10', '11', '19', '7', '13', '22', '4', '5', '2', '18']"
Costa Rica,"['Contreras', 'Campbell', 'Bennette', 'Tejeda', 'Borges', 'Fuller', 'Oviedo', 'Calvo', 'Duarte', 'Martínez', 'Navas']","['7', '12', '9', '17', '5', '4', '8', '15', '6', '16', '1']"
